End Date,AUDJPY
1/11/2015,97.2
1/10/2015,97.16
1/9/2015,96.93
1/8/2015,96.04
1/7/2015,96.62
1/6/2015,97.02
1/5/2015,97.4
1/4/2015,97.4
1/3/2015,97.83
1/2/2015,97.83
1/1/2015,97.87
12/31/2014,97.79
12/30/2014,97.98
12/29/2014,97.7
12/28/2014,97.7
12/27/2014,97.69
12/26/2014,97.66
12/25/2014,97.7
12/24/2014,97.61
12/23/2014,97.47
12/22/2014,97.29
12/21/2014,97.28
12/20/2014,97.32
12/19/2014,96.82
12/18/2014,95.83
12/17/2014,96.37
12/16/2014,97.44
12/15/2014,97.82
12/14/2014,97.82
12/13/2014,98.08
12/12/2014,98.33
12/11/2014,98.91
12/10/2014,99.38
12/9/2014,100.55
12/8/2014,100.98
12/7/2014,100.99
12/6/2014,100.75
12/5/2014,100.51
12/4/2014,100.51
12/3/2014,100.67
12/2/2014,100.49
12/1/2014,100.75
11/30/2014,100.76
11/29/2014,100.69
11/28/2014,100.67
11/27/2014,100.44
11/26/2014,101.09
11/25/2014,102.16
11/24/2014,102.02
11/23/2014,102.03
11/22/2014,101.97
11/21/2014,101.76
11/20/2014,101.64
11/19/2014,101.73
11/18/2014,101.62
11/17/2014,101.63
11/16/2014,101.63
11/15/2014,101.17
11/14/2014,100.85
11/13/2014,100.48
11/12/2014,99.68
11/11/2014,98.97
11/10/2014,98.89
11/9/2014,98.89
11/8/2014,98.81
11/7/2014,98.55
11/6/2014,99
11/5/2014,98.99
11/4/2014,98.76
11/3/2014,98.77
11/2/2014,98.77
11/1/2014,97.74
10/31/2014,95.89
10/30/2014,95.91
10/29/2014,95.33
10/28/2014,95.01
10/27/2014,95.04
10/26/2014,95.04
10/25/2014,94.85
10/24/2014,94.35
10/23/2014,94.03
10/22/2014,93.9
10/21/2014,93.92
10/20/2014,93.43
10/19/2014,93.43
10/18/2014,93.28
10/17/2014,92.91
10/16/2014,93.34
10/15/2014,93.66
10/14/2014,93.71
10/13/2014,93.41
10/12/2014,93.41
10/11/2014,94.2
10/10/2014,95.37
10/9/2014,95.12
10/8/2014,95.38
10/7/2014,95.3
10/6/2014,95.16
10/5/2014,95.16
10/4/2014,95.42
10/3/2014,95.41
10/2/2014,95.51
10/1/2014,95.66
9/30/2014,95.49
9/29/2014,95.7
9/28/2014,95.7
9/27/2014,95.7
9/26/2014,96.18
9/25/2014,96.42
9/24/2014,96.51
9/23/2014,96.92
9/22/2014,97.26
9/21/2014,97.26
9/20/2014,97.58
9/19/2014,97.42
9/18/2014,97.24
9/17/2014,96.84
9/16/2014,96.67
9/15/2014,96.98
9/14/2014,96.98
9/13/2014,97.17
9/12/2014,97.71
9/11/2014,97.62
9/10/2014,98.25
9/9/2014,98.36
9/8/2014,98.52
9/7/2014,98.52
9/6/2014,98.45
9/5/2014,98.16
9/4/2014,97.79
9/3/2014,97.45
9/2/2014,97.32
9/1/2014,97.11
8/31/2014,97.18
8/30/2014,97.08
8/29/2014,97.04
8/28/2014,96.98
8/27/2014,96.71
8/26/2014,96.84
8/25/2014,96.79
8/24/2014,96.79
8/23/2014,96.69
8/22/2014,96.34
8/21/2014,95.98
8/20/2014,95.76
8/19/2014,95.48
8/18/2014,95.36
8/17/2014,95.36
8/16/2014,95.5
8/15/2014,95.38
8/14/2014,95.1
8/13/2014,94.73
8/12/2014,94.67
8/11/2014,94.61
8/10/2014,94.61
8/9/2014,94.41
8/8/2014,94.92
8/7/2014,95.41
8/6/2014,95.65
8/5/2014,95.6
8/4/2014,95.5
8/3/2014,95.5
8/2/2014,95.56
8/1/2014,95.7
7/31/2014,95.82
