End Date,USDCAD
1/11/2015,1.1866
1/10/2015,1.1839
1/9/2015,1.1822
1/8/2015,1.1839
1/7/2015,1.1771
1/6/2015,1.1789
1/5/2015,1.1785
1/4/2015,1.1784
1/3/2015,1.167
1/2/2015,1.1614
1/1/2015,1.16
12/31/2014,1.1628
12/30/2014,1.1628
12/29/2014,1.1629
12/28/2014,1.1629
12/27/2014,1.1616
12/26/2014,1.1631
12/25/2014,1.1618
12/24/2014,1.1625
12/23/2014,1.1612
12/22/2014,1.1604
12/21/2014,1.1604
12/20/2014,1.1594
12/19/2014,1.1619
12/18/2014,1.1637
12/17/2014,1.1644
12/16/2014,1.1589
12/15/2014,1.1579
12/14/2014,1.1578
12/13/2014,1.1548
12/12/2014,1.1488
12/11/2014,1.1459
12/10/2014,1.1466
12/9/2014,1.1448
12/8/2014,1.1434
12/7/2014,1.1434
12/6/2014,1.1407
12/5/2014,1.1368
12/4/2014,1.1386
12/3/2014,1.1355
12/2/2014,1.1404
12/1/2014,1.1416
11/30/2014,1.1416
11/29/2014,1.1378
11/28/2014,1.1277
11/27/2014,1.1258
11/26/2014,1.128
11/25/2014,1.1248
11/24/2014,1.1233
11/23/2014,1.1233
11/22/2014,1.1281
11/21/2014,1.1333
11/20/2014,1.1332
11/19/2014,1.129
11/18/2014,1.1297
11/17/2014,1.129
11/16/2014,1.129
11/15/2014,1.1356
11/14/2014,1.1328
11/13/2014,1.1325
11/12/2014,1.137
11/11/2014,1.1329
11/10/2014,1.1329
11/9/2014,1.1329
11/8/2014,1.1407
11/7/2014,1.1406
11/6/2014,1.1415
11/5/2014,1.1376
11/4/2014,1.1298
11/3/2014,1.1267
11/2/2014,1.1267
11/1/2014,1.1227
10/31/2014,1.1194
10/30/2014,1.1162
10/29/2014,1.1221
10/28/2014,1.1233
10/27/2014,1.1235
10/26/2014,1.1235
10/25/2014,1.1222
10/24/2014,1.1244
10/23/2014,1.1228
10/22/2014,1.1254
10/21/2014,1.1274
10/20/2014,1.128
10/19/2014,1.128
10/18/2014,1.1252
10/17/2014,1.1278
10/16/2014,1.132
10/15/2014,1.1232
10/14/2014,1.1201
10/13/2014,1.1198
10/12/2014,1.1198
10/11/2014,1.1195
10/10/2014,1.1117
10/9/2014,1.1169
10/8/2014,1.1165
10/7/2014,1.1217
10/6/2014,1.1245
10/5/2014,1.1245
10/4/2014,1.12
10/3/2014,1.1133
10/2/2014,1.1198
10/1/2014,1.1171
9/30/2014,1.1157
9/29/2014,1.1156
9/28/2014,1.1156
9/27/2014,1.1126
9/26/2014,1.1093
9/25/2014,1.1077
9/24/2014,1.1037
9/23/2014,1.098
9/22/2014,1.0962
9/21/2014,1.0962
9/20/2014,1.0953
9/19/2014,1.0985
9/18/2014,1.0968
9/17/2014,1.1033
9/16/2014,1.1078
9/15/2014,1.1092
9/14/2014,1.1092
9/13/2014,1.1059
9/12/2014,1.0988
9/11/2014,1.0974
9/10/2014,1.0992
9/9/2014,1.0911
9/8/2014,1.0883
9/7/2014,1.0883
9/6/2014,1.0882
9/5/2014,1.0882
9/4/2014,1.091
9/3/2014,1.0903
9/2/2014,1.0868
9/1/2014,1.0879
8/31/2014,1.0879
8/30/2014,1.0857
8/29/2014,1.0854
8/28/2014,1.0906
8/27/2014,1.0968
8/26/2014,1.0963
8/25/2014,1.0944
8/24/2014,1.0944
8/23/2014,1.0945
8/22/2014,1.0965
8/21/2014,1.0949
8/20/2014,1.0909
8/19/2014,1.0886
8/18/2014,1.09
8/17/2014,1.09
8/16/2014,1.0897
8/15/2014,1.0909
8/14/2014,1.0923
8/13/2014,1.0936
8/12/2014,1.0959
8/11/2014,1.0973
8/10/2014,1.0972
8/9/2014,1.0945
8/8/2014,1.0922
8/7/2014,1.0953
8/6/2014,1.0932
8/5/2014,1.0921
8/4/2014,1.0917
8/3/2014,1.0917
8/2/2014,1.0917
8/1/2014,1.0904
7/31/2014,1.0873
7/30/2014,1.082
7/29/2014,1.0809
7/28/2014,1.0815
7/27/2014,1.0815
7/26/2014,1.0767
7/25/2014,1.0736
7/24/2014,1.0732
7/23/2014,1.0741
7/22/2014,1.0739
7/21/2014,1.0734
7/20/2014,1.0735
7/19/2014,1.0746
7/18/2014,1.0743
7/17/2014,1.0759
7/16/2014,1.0735
7/15/2014,1.0731
7/14/2014,1.0734
7/13/2014,1.0734
7/12/2014,1.0669
7/11/2014,1.0658
7/10/2014,1.0669
7/9/2014,1.0681
7/8/2014,1.0658
7/7/2014,1.0653
7/6/2014,1.0652
7/5/2014,1.0641
7/4/2014,1.0657
7/3/2014,1.0645
7/2/2014,1.0661
7/1/2014,1.0674
6/30/2014,1.0666
6/29/2014,1.0666
6/28/2014,1.0683
6/27/2014,1.0711
6/26/2014,1.0738
6/25/2014,1.073
6/24/2014,1.0736
6/23/2014,1.0758
6/22/2014,1.0758
6/21/2014,1.0798
6/20/2014,1.0826
6/19/2014,1.0865
6/18/2014,1.0857
6/17/2014,1.0857
6/16/2014,1.0858
6/15/2014,1.0858
6/14/2014,1.0858
6/13/2014,1.086
6/12/2014,1.0888
6/11/2014,1.0907
6/10/2014,1.0922
6/9/2014,1.0931
6/8/2014,1.0931
6/7/2014,1.0926
6/6/2014,1.094
6/5/2014,1.0931
6/4/2014,1.0906
6/3/2014,1.0869
6/2/2014,1.0847
6/1/2014,1.0847
5/31/2014,1.084
5/30/2014,1.0858
5/29/2014,1.0861
5/28/2014,1.0852
5/27/2014,1.0863
5/26/2014,1.0867
5/25/2014,1.0867
5/24/2014,1.0888
5/23/2014,1.0907
5/22/2014,1.0914
5/21/2014,1.0887
5/20/2014,1.0862
5/19/2014,1.0861
5/18/2014,1.0861
5/17/2014,1.0875
5/16/2014,1.0877
5/15/2014,1.09
5/14/2014,1.0903
5/13/2014,1.0894
5/12/2014,1.09
5/11/2014,1.09
5/10/2014,1.0853
5/9/2014,1.0875
5/8/2014,1.0891
5/7/2014,1.0929
5/6/2014,1.0969
5/5/2014,1.0975
5/4/2014,1.0975
5/3/2014,1.0969
5/2/2014,1.097
5/1/2014,1.0957
4/30/2014,1.0993
4/29/2014,1.103
4/28/2014,1.104
4/27/2014,1.104
4/26/2014,1.1029
4/25/2014,1.1029
4/24/2014,1.1033
4/23/2014,1.102
4/22/2014,1.1021
4/21/2014,1.1025
4/20/2014,1.1025
4/19/2014,1.1012
4/18/2014,1.1005
4/17/2014,1.0993
4/16/2014,1.0982
4/15/2014,1.0974
4/14/2014,1.0979
4/13/2014,1.0979
4/12/2014,1.0947
4/11/2014,1.0898
4/10/2014,1.0916
4/9/2014,1.0947
4/8/2014,1.0979
4/7/2014,1.098
4/6/2014,1.098
4/5/2014,1.1012
4/4/2014,1.1027
4/3/2014,1.1028
4/2/2014,1.1048
4/1/2014,1.1049
3/31/2014,1.1061
3/30/2014,1.1061
3/29/2014,1.1032
3/28/2014,1.108
3/27/2014,1.1146
3/26/2014,1.1188
3/25/2014,1.1222
3/24/2014,1.1224
3/23/2014,1.1224
3/22/2014,1.123
3/21/2014,1.125
3/20/2014,1.1161
3/19/2014,1.1069
3/18/2014,1.1077
3/17/2014,1.1103
3/16/2014,1.1103
3/15/2014,1.1088
3/14/2014,1.1082
3/13/2014,1.1117
3/12/2014,1.111
3/11/2014,1.1107
3/10/2014,1.1087
3/9/2014,1.1087
3/8/2014,1.1023
3/7/2014,1.1018
3/6/2014,1.1076
3/5/2014,1.1088
3/4/2014,1.1074
3/3/2014,1.1066
3/2/2014,1.1066
3/1/2014,1.1109
2/28/2014,1.1134
2/27/2014,1.1096
2/26/2014,1.1071
2/25/2014,1.1102
2/24/2014,1.1112
2/23/2014,1.1112
2/22/2014,1.1132
2/21/2014,1.1083
2/20/2014,1.0974
2/19/2014,1.0958
2/18/2014,1.0968
2/17/2014,1.0982
2/16/2014,1.0982
2/15/2014,1.0966
2/14/2014,1.0995
2/13/2014,1.0998
2/12/2014,1.1057
2/11/2014,1.1038
2/10/2014,1.1032
2/9/2014,1.1032
2/8/2014,1.1054
2/7/2014,1.107
2/6/2014,1.108
2/5/2014,1.1089
2/4/2014,1.1098
2/3/2014,1.1128
2/2/2014,1.1128
2/1/2014,1.1168
1/31/2014,1.1178
1/30/2014,1.1149
1/29/2014,1.1124
1/28/2014,1.1068
1/27/2014,1.1088
1/26/2014,1.1087
1/25/2014,1.1094
1/24/2014,1.1129
1/23/2014,1.0994
1/22/2014,1.0972
1/21/2014,1.0954
1/20/2014,1.0962
1/19/2014,1.0963
1/18/2014,1.0947
1/17/2014,1.0935
1/16/2014,1.0959
1/15/2014,1.0901
1/14/2014,1.0894
1/13/2014,1.0894
1/12/2014,1.0894
1/11/2014,1.0868
1/10/2014,1.0842
1/9/2014,1.0799
1/8/2014,1.0697
1/7/2014,1.0637
1/6/2014,1.0636
1/5/2014,1.0635
1/4/2014,1.0641
1/3/2014,1.0638
1/2/2014,1.0628
1/1/2014,1.0641
12/31/2013,1.0696
12/30/2013,1.0707
12/29/2013,1.0707
12/28/2013,1.0657
12/27/2013,1.0637
12/26/2013,1.0616
12/25/2013,1.062
12/24/2013,1.0624
12/23/2013,1.0637
12/22/2013,1.0637
12/21/2013,1.0673
12/20/2013,1.0704
12/19/2013,1.0625
12/18/2013,1.0591
12/17/2013,1.0585
12/16/2013,1.0585
12/15/2013,1.0585
12/14/2013,1.0635
12/13/2013,1.0601
12/12/2013,1.0603
12/11/2013,1.0629
12/10/2013,1.0651
12/9/2013,1.0639
12/8/2013,1.064
12/7/2013,1.0655
12/6/2013,1.0667
12/5/2013,1.0662
12/4/2013,1.0649
12/3/2013,1.0629
12/2/2013,1.0615
12/1/2013,1.0615
11/30/2013,1.0593
11/29/2013,1.0586
11/28/2013,1.0562
11/27/2013,1.054
11/26/2013,1.0552
11/25/2013,1.0517
11/24/2013,1.0517
11/23/2013,1.0537
11/22/2013,1.0477
11/21/2013,1.046
11/20/2013,1.0443
11/19/2013,1.043
11/18/2013,1.0439
11/17/2013,1.0439
11/16/2013,1.0465
11/15/2013,1.0478
11/14/2013,1.0484
11/13/2013,1.0486
11/12/2013,1.0476
11/11/2013,1.0478
11/10/2013,1.0478
11/9/2013,1.0466
11/8/2013,1.0427
11/7/2013,1.0441
11/6/2013,1.0438
11/5/2013,1.0415
11/4/2013,1.0423
11/3/2013,1.0423
11/2/2013,1.0431
11/1/2013,1.0459
10/31/2013,1.0463
10/30/2013,1.0446
10/29/2013,1.0443
10/28/2013,1.0449
10/27/2013,1.0449
10/26/2013,1.0435
10/25/2013,1.0397
10/24/2013,1.033
10/23/2013,1.0297
10/22/2013,1.0296
10/21/2013,1.0286
10/20/2013,1.0286
10/19/2013,1.0293
10/18/2013,1.0308
10/17/2013,1.0364
10/16/2013,1.0356
10/15/2013,1.0355
10/14/2013,1.0352
10/13/2013,1.0352
10/12/2013,1.039
10/11/2013,1.0396
10/10/2013,1.0378
10/9/2013,1.0329
10/8/2013,1.0311
10/7/2013,1.0296
10/6/2013,1.0296
10/5/2013,1.0322
10/4/2013,1.0327
10/3/2013,1.0339
10/2/2013,1.0317
10/1/2013,1.0304
9/30/2013,1.0305
9/29/2013,1.0305
9/28/2013,1.0314
9/27/2013,1.0316
9/26/2013,1.0306
9/25/2013,1.029
9/24/2013,1.0293
9/23/2013,1.0304
9/22/2013,1.0304
9/21/2013,1.0282
9/20/2013,1.0224
9/19/2013,1.0292
9/18/2013,1.0314
9/17/2013,1.0306
