End Date,USDEUR
1/11/2015,0.8443
1/10/2015,0.8467
1/9/2015,0.8469
1/8/2015,0.8434
1/7/2015,0.8383
1/6/2015,0.8374
1/5/2015,0.8331
1/4/2015,0.8331
1/3/2015,0.83
1/2/2015,0.8263
1/1/2015,0.8235
12/31/2014,0.8226
12/30/2014,0.8207
12/29/2014,0.8207
12/28/2014,0.8207
12/27/2014,0.8198
12/26/2014,0.82
12/25/2014,0.8205
12/24/2014,0.8188
12/23/2014,0.8165
12/22/2014,0.8176
12/21/2014,0.8176
12/20/2014,0.8149
12/19/2014,0.812
12/18/2014,0.8023
12/17/2014,0.8012
12/16/2014,0.8035
12/15/2014,0.8023
12/14/2014,0.8023
12/13/2014,0.8047
12/12/2014,0.8043
12/11/2014,0.8068
12/10/2014,0.8097
12/9/2014,0.8138
12/8/2014,0.8136
12/7/2014,0.8136
12/6/2014,0.8097
12/5/2014,0.8106
12/4/2014,0.8097
12/3/2014,0.8039
12/2/2014,0.8024
12/1/2014,0.8029
11/30/2014,0.8029
11/29/2014,0.8028
11/28/2014,0.8005
11/27/2014,0.8011
11/26/2014,0.8038
11/25/2014,0.8061
11/24/2014,0.8066
11/23/2014,0.8066
11/22/2014,0.8012
11/21/2014,0.7974
11/20/2014,0.7977
11/19/2014,0.8002
11/18/2014,0.7996
11/17/2014,0.7982
11/16/2014,0.7982
11/15/2014,0.8021
11/14/2014,0.8028
11/13/2014,0.8024
11/12/2014,0.8043
11/11/2014,0.8023
11/10/2014,0.8028
11/9/2014,0.8027
11/8/2014,0.8065
11/7/2014,0.8018
11/6/2014,0.7989
11/5/2014,0.7988
11/4/2014,0.8005
11/3/2014,0.7983
11/2/2014,0.7983
11/1/2014,0.7957
10/31/2014,0.793
10/30/2014,0.7856
10/29/2014,0.7863
10/28/2014,0.7877
10/27/2014,0.7891
10/26/2014,0.7891
10/25/2014,0.7899
10/24/2014,0.7906
10/23/2014,0.7878
10/22/2014,0.7827
10/21/2014,0.7831
10/20/2014,0.7836
10/19/2014,0.7836
10/18/2014,0.7816
10/17/2014,0.7812
10/16/2014,0.7877
10/15/2014,0.788
10/14/2014,0.7889
10/13/2014,0.7916
10/12/2014,0.7916
10/11/2014,0.7896
10/10/2014,0.7855
10/9/2014,0.7895
10/8/2014,0.7915
10/7/2014,0.7967
10/6/2014,0.799
10/5/2014,0.799
10/4/2014,0.7935
10/3/2014,0.7908
10/2/2014,0.7928
10/1/2014,0.7904
9/30/2014,0.7882
9/29/2014,0.7881
9/28/2014,0.7881
9/27/2014,0.7856
9/26/2014,0.7843
9/25/2014,0.7795
9/24/2014,0.7775
9/23/2014,0.7785
9/22/2014,0.7794
9/21/2014,0.7794
9/20/2014,0.7764
9/19/2014,0.7763
9/18/2014,0.7722
9/17/2014,0.7723
9/16/2014,0.7725
9/15/2014,0.7713
9/14/2014,0.7713
9/13/2014,0.7732
9/12/2014,0.7738
9/11/2014,0.7735
9/10/2014,0.7754
9/9/2014,0.7728
9/8/2014,0.772
9/7/2014,0.772
9/6/2014,0.7723
9/5/2014,0.7646
9/4/2014,0.7611
9/3/2014,0.7619
9/2/2014,0.7615
9/1/2014,0.7614
8/31/2014,0.7612
8/30/2014,0.7592
8/29/2014,0.758
8/28/2014,0.7588
8/27/2014,0.7579
8/26/2014,0.7576
8/25/2014,0.755
8/24/2014,0.755
8/23/2014,0.7536
8/22/2014,0.7538
8/21/2014,0.7521
8/20/2014,0.7495
8/19/2014,0.7472
8/18/2014,0.746
8/17/2014,0.746
8/16/2014,0.7475
8/15/2014,0.748
8/14/2014,0.7481
8/13/2014,0.7482
8/12/2014,0.7466
8/11/2014,0.7454
8/10/2014,0.7455
8/9/2014,0.7471
8/8/2014,0.7477
8/7/2014,0.7482
8/6/2014,0.7463
8/5/2014,0.745
8/4/2014,0.7443
8/3/2014,0.7443
8/2/2014,0.7461
8/1/2014,0.7467
7/31/2014,0.7463
7/30/2014,0.7447
7/29/2014,0.7443
7/28/2014,0.7445
7/27/2014,0.7445
7/26/2014,0.7434
7/25/2014,0.7427
7/24/2014,0.7426
7/23/2014,0.7409
7/22/2014,0.7392
7/21/2014,0.7392
7/20/2014,0.7394
7/19/2014,0.7395
7/18/2014,0.7392
7/17/2014,0.7382
7/16/2014,0.7352
7/15/2014,0.7345
7/14/2014,0.7346
7/13/2014,0.7346
7/12/2014,0.735
7/11/2014,0.7339
7/10/2014,0.7342
7/9/2014,0.735
7/8/2014,0.7356
7/7/2014,0.7355
7/6/2014,0.7354
7/5/2014,0.7353
7/4/2014,0.7332
7/3/2014,0.7317
7/2/2014,0.7306
7/1/2014,0.732
6/30/2014,0.7325
6/29/2014,0.7325
6/28/2014,0.7339
6/27/2014,0.7342
6/26/2014,0.7343
6/25/2014,0.735
6/24/2014,0.7355
6/23/2014,0.7352
6/22/2014,0.7352
6/21/2014,0.7351
6/20/2014,0.7348
6/19/2014,0.7375
6/18/2014,0.7375
6/17/2014,0.7381
6/16/2014,0.7381
6/15/2014,0.7381
6/14/2014,0.738
6/13/2014,0.7385
