"","Ticker","Current.Price","Target.Price","Expected.Return","Estimated.Volatility","Estimated.Beta"
"1","AMP","127.68","138","0.13401829730578","0.374814197021746","1.74269823289383"
"2","ATD-B.TO","45.23","40","-0.169473464816357","0.305261643317797","0.290316781217763"
"3","BA","131.54","160.09","0.154978675295838","0.287911423604416","0.981437259067652"
"4","CAS.TO","7.1","7.81","-0.0187573889920169","0.370676176560001","0.571340872891269"
"5","CELG","113.67","115","-0.0659717592709214","0.393965414562122","0.935883370839692"
"6","EOG","87.46","130","0.191752898306254","0.416116589059375","1.28995231463449"
"7","KMI","41.81","45.5","0.110025550807056","0.262876640652587","0.776672127083108"
"8","MGA","106.78","107.5","-0.0487563238535632","0.333096167342828","1.03824100726195"
"9","MHH","10.4","12.46","0.34608781080807","0.559129524890826","0.400815484823227"
"10","SNY","44.55","60","0.257189227336158","0.284756671455208","0.870958532755751"
"11","TD","44.3","56","0.207058799545518","0.233701579534849","0.962682689344084"
"12","WFC","52.68","66.14","0.174964474326121","0.324263338514995","1.59215893644889"
"13","WFM","49.95","48","-0.119600785972612","0.399447848375581","1.0531446651411"
