Date,Open,High,Low,Close,Volume,Adj Close
10/17/2014,94.2,95.55,90.26,91.22,8665500,91.22
10/16/2014,85.19,92.52,85.19,91.27,10111100,91.27
10/15/2014,82.03,88.53,81.07,88.17,11107300,88.17
10/14/2014,85.4,86.88,83.5,83.84,12228000,83.67
10/13/2014,89.25,90.3,83.58,83.76,9446700,83.59
10/10/2014,91.07,91.95,88.61,89.83,9915400,89.65
10/9/2014,93.64,93.73,90.88,91.96,9684400,91.78
10/8/2014,93.31,94.69,90.8,94.56,7723600,94.37
10/7/2014,95.02,96.02,93.57,93.61,5515800,93.42
10/6/2014,96.84,97,94.36,95.09,5114400,94.9
10/3/2014,97.72,97.72,95.57,96.57,4433900,96.38
10/2/2014,95.76,97.64,94.27,97.06,5381500,96.87
10/1/2014,99.21,99.73,96.15,96.85,5856700,96.66
9/30/2014,101.85,101.85,97.45,99.02,6422700,98.82
9/29/2014,100.8,102.06,100.1,101.87,4300400,101.67
9/26/2014,100.37,102.41,100.21,101.88,3327500,101.68
9/25/2014,102.64,102.7,100.14,100.36,3588900,100.16
9/24/2014,100.94,102.87,99.55,102.14,4584400,101.94
9/23/2014,101.55,101.63,100.45,100.84,5577300,100.64
9/22/2014,103.82,103.86,100.57,101.74,4437000,101.54
9/19/2014,105.24,105.9,103.96,104.37,6346200,104.16
9/18/2014,105.82,105.99,104.21,104.98,3003200,104.77
9/17/2014,105.65,106.09,104.52,105.19,3689600,104.98
9/16/2014,102.33,105.9,101.75,105.22,4116100,105.01
9/15/2014,100.8,102.41,100.12,101.91,3055400,101.71
9/12/2014,102.5,102.57,101.03,101.32,3699800,101.12
9/11/2014,100.93,103.13,100.5,103.06,4596100,102.85
9/10/2014,100.93,102.14,99.33,102.01,3713700,101.81
9/9/2014,101.63,102.49,100.82,101.31,3636000,101.11
9/8/2014,104.07,104.07,100.75,101.41,5549200,101.21
9/5/2014,104.35,105.29,103.05,105.18,3235500,104.97
9/4/2014,107.76,107.99,103.97,104.61,3937200,104.4
9/3/2014,108.85,109.08,107.46,107.74,1479100,107.52
9/2/2014,109.57,109.85,107.08,107.71,2755100,107.49
8/29/2014,108.8,109.98,108.37,109.88,1802700,109.66
8/28/2014,108.32,109.08,108.1,108.39,1756800,108.17
8/27/2014,109.43,109.45,108.07,108.61,1996700,108.39
8/26/2014,108.86,110.47,108.5,109.4,3283200,109.18
8/25/2014,106.93,108.25,106.6,107.94,1932600,107.72
8/22/2014,106.59,106.84,105.61,106.27,2075400,106.06
8/21/2014,107.5,107.52,106.02,107.19,2138800,106.98
8/20/2014,107.09,107.45,106.1,107.28,2185900,107.07
8/19/2014,106.1,107.35,105.66,107.03,3145300,106.82
8/18/2014,106.65,106.91,104.66,105.43,3275500,105.22
8/15/2014,103.97,106.42,103.67,106.09,4557700,105.88
8/14/2014,107.22,107.23,103.57,103.93,3490700,103.72
8/13/2014,107.66,107.88,106.22,106.35,2337400,106.14
8/12/2014,107.89,108.49,106.34,106.69,3265800,106.48
8/11/2014,108.72,109,107.92,108.3,2760600,108.08
8/8/2014,106.07,107.9,106.07,107.78,2354100,107.56
8/7/2014,107.63,107.63,105.4,106.06,2977200,105.85
8/6/2014,107.03,108.51,105.63,106.64,5007700,106.43
8/5/2014,111.81,111.81,107.51,108.63,4848700,108.41
8/4/2014,108.74,112.12,108.08,111.81,3002600,111.59
8/1/2014,108.65,109.81,107.16,108.04,3966400,107.82
7/31/2014,112.84,113.09,109.37,109.44,4162500,109.22
7/30/2014,114.83,115.44,113.36,113.63,1778300,113.4
7/29/2014,113.27,115.33,113.19,114.24,2502800,114.01
7/28/2014,114.82,115.02,113,113.39,2993500,113.16
7/25/2014,115.58,115.86,114.4,114.82,1981100,114.59
7/24/2014,116.48,116.93,115.7,116.2,2864400,115.97
7/23/2014,116.7,116.7,115.3,115.95,3621600,115.72
7/22/2014,116.75,117.62,115.8,116.55,2600600,116.32
7/21/2014,115.86,116.43,115.12,116.15,1595000,115.92
7/18/2014,115.36,116.39,114.34,116.04,2605200,115.81
7/17/2014,117.48,118.81,115.35,115.55,2286700,115.32
7/16/2014,114.62,117.28,114.17,117.1,3181000,116.87
7/15/2014,114.91,115.62,112.64,113.44,3367700,113.21
7/14/2014,114.65,116.05,114.31,115.69,2956100,115.33
7/11/2014,115.74,115.74,113.39,113.65,2482100,113.3
7/10/2014,114.88,115.88,113.76,114.96,2212700,114.61
7/9/2014,116.1,116.63,115.19,116.56,1938800,116.2
7/8/2014,115.37,116.55,115.13,115.98,2511100,115.62
7/7/2014,116.4,116.5,115.42,115.73,1574500,115.37
7/3/2014,116.27,117.02,115.11,116.75,1677900,116.39
