Ticker,Exchange,Name,Position,VWAP,Cost,Market Quote,Market Value,P/L,Currency,VType
AMP,NYS,AMERIPRISE FINCL,240.00,51.28,-12306.12,137.81,33074.40,20768.28,USD,Stock
BA,NYS,BOEING CO,1597.00,116.34,-185797.38,149.73,239118.81,53321.43,USD,Stock
CAS.TO,TOR,CASCADES INC,20287.00,6.61,-134097.07,8.02,162701.74,28604.67,CAD,Stock
CELG,NSQ,CELGENE CORP,2232.00,106.18,-236983.05,115.88,258644.16,21661.11,USD,Stock
EOG,NYS,EOG RESOURCES,1768.00,91.70,-162130.02,96.92,171354.56,9224.54,USD,Stock
KMI,NYS,KINDER MORGAN,3613.00,35.68,-128921.23,41.97,151637.61,22716.38,USD,Stock
VNQ,PCQ,VNGRD REIT,13050.00,77.46,-1010799.50,85.06,1110033.00,99233.51,USD,Stock
XLB,PCQ,SS SPDR MATRIALS,5865.00,46.68,-273778.20,51.44,301695.60,27917.40,USD,Stock
XLE,PCQ,SS SPDR ENRGY,5544.00,85.26,-472674.79,82.04,454829.76,-17845.03,USD,Stock
XLF,PCQ,SS SPDR FNANCIAL,56451.00,23.40,-1321026.79,24.43,1379097.93,58071.14,USD,Stock
XLI,PCQ,SS SPDR INDUSTRL,10266.00,55.10,-565668.92,57.17,586907.22,21238.30,USD,Stock
XLK,PCQ,SS SPDR TECHNLGY,46562.00,40.71,-1895669.39,42.65,1985869.30,90199.91,USD,Stock
XLP,PCQ,SS SPDR CONS STP,17814.00,46.37,-825949.67,49.50,881793.00,55843.33,USD,Stock
XLU,PCQ,SS SPDR UTILITIS,5987.00,44.46,-266199.38,45.17,270432.79,4233.41,USD,Stock
XLV,PCQ,SS SPDR HLT CRE,14476.00,66.17,-957827.70,70.72,1023742.72,65915.02,USD,Stock
XLY,PCQ,SS SPDR CONS DIS,14826.00,67.21,-996523.66,74.89,1110319.14,113795.48,USD,Stock
