Ticker,Exchange,Name,Position,VWAP,Cost,Market Quote,Market Value,P/L,Currency,VType
AMP,NYS,AMERIPRISE FINCL,240,51.2755,"-12,306.12",132.60,"31,824.00","19,517.88",USD,Stock
BA,NYS,BOEING CO,"1,597",116.3415,"-185,797.3755",150.80,"240,827.60","55,030.2245",USD,Stock
CAS.TO,TOR,CASCADES INC,"20,287",6.61,"-134,097.07",8.00,"162,296.00","28,198.93",CAD,Stock
CELG,NSQ,CELGENE CORP,"2,232",106.1752,"-236,983.0464",119.50,"266,724.00","29,740.9536",USD,Stock
EOG,NYS,EOG RESOURCES,"1,768",91.7025,"-162,130.02",89.65,"158,501.20","-3,628.82",USD,Stock
KMI,NYS,KINDER MORGAN,"3,613",35.6826,"-128,921.2338",41.01,"148,169.13","19,247.8962",USD,Stock
VNQ,PCQ,VNGRD REIT,"13,050",77.4559,"-1,010,799.495",83.37,"1,087,978.50","77,179.005",USD,Stock
XLB,PCQ,SS SPDR MATRIALS,"5,865",46.68,"-273,778.20",47.75,"280,053.75","6,275.55",USD,Stock
XLE,PCQ,SS SPDR ENRGY,"5,544",85.2588,"-472,674.7872",79.02,"438,086.88","-34,587.9072",USD,Stock
XLF,PCQ,SS SPDR FNANCIAL,"56,451",23.4013,"-1,321,026.7863",24.33,"1,373,452.83","52,426.0437",USD,Stock
XLI,PCQ,SS SPDR INDUSTRL,"10,266",55.1012,"-565,668.9192",41.47,"425,731.02","-139,937.8992",USD,Stock
XLK,PCQ,SS SPDR TECHNLGY,"46,562",40.7128,"-1,895,669.3936",43.09,"2,006,356.58","110,687.1864",USD,Stock
XLP,PCQ,SS SPDR CONS STP,"17,814",46.3652,"-825,949.6728",49.00,"872,886.00","46,936.3272",USD,Stock
XLU,PCQ,SS SPDR UTILITIS,"5,987",44.4629,"-266,199.3823",45.13,"270,193.31","3,993.9277",USD,Stock
XLV,PCQ,SS SPDR HLT CRE,"14,476",66.1666,"-957,827.7016",72.23,"1,045,601.48","87,773.7784",USD,Stock
XLY,PCQ,SS SPDR CONS DIS,"14,826",67.2146,"-996,523.6596",75.91,"1,125,441.66","128,918.0004",USD,Stock
