Date,Open,High,Low,Close,Volume,Adj Close
10/13/2014,194.51,201.98,180.13,199.5,1660700,199.5
10/6/2014,219.28,219.33,180.51,189.37,1767100,189.37
9/29/2014,201.09,220.2,196.45,214.67,1668400,214.67
9/22/2014,206.08,206.84,198.42,202.28,581800,202.28
9/15/2014,201.8,210.71,200.75,205.69,696200,205.37
9/8/2014,207.42,208.65,200.96,201.36,628800,201.04
9/2/2014,200.84,208.2,200.7,207.41,663500,207.08
8/25/2014,200.06,201.23,198.52,200.6,446500,200.28
8/18/2014,196.24,200.92,195.8,199.61,439500,199.3
8/11/2014,190,195.59,189.8,195.53,453800,195.22
8/4/2014,188.36,192.18,186.43,189.5,652700,189.2
7/28/2014,194.56,194.82,186.09,187.18,816900,186.89
7/21/2014,194.69,199.65,193.78,194.6,701300,194.29
7/14/2014,183.59,194.84,181.52,194.84,963300,194.53
7/7/2014,186.9,186.9,180.6,182.85,490700,182.56
6/30/2014,179.99,184.98,179.68,183.08,565200,182.79
6/23/2014,183.68,184.24,176.81,180.13,785300,179.85
6/16/2014,184.72,185.68,181.38,184.16,703500,183.53
6/9/2014,179.91,186,177.38,184.82,1245500,184.19
6/2/2014,168.24,179.77,167.81,179.75,1492300,179.14
5/27/2014,166.62,167.9,165.73,167.52,912200,166.95
5/19/2014,160.65,165.91,159.12,165.68,601300,165.12
5/12/2014,159.85,162.58,158.04,160.36,501900,159.81
5/5/2014,157.32,161.2,155.29,159.18,485800,158.64
4/28/2014,155.76,159.84,149.6,157.75,1302700,157.21
4/21/2014,148.24,158.47,146.72,155.2,912700,154.67
4/14/2014,144.43,149.7,143.65,148.18,489600,147.67
4/7/2014,150.97,151.51,142.73,143.86,628900,143.37
3/31/2014,149.4,154.86,149.15,151.95,643600,151.43
3/24/2014,150.75,151.98,147.15,148.23,559400,147.72
3/17/2014,153.96,157.98,150.01,150.36,549800,149.54
3/10/2014,156,158.23,151.6,153.24,722300,152.4
3/3/2014,155.4,159.77,154.81,156.1,536600,155.24
2/24/2014,157.91,159.7,154.1,157,613900,156.14
2/18/2014,155.15,157.37,154.65,156.22,592700,155.36
2/10/2014,151.26,156.9,150.78,154.65,680200,153.8
2/3/2014,151.47,152.79,145.01,151.81,749100,150.98
1/27/2014,142.5,153.86,139.37,151.48,1255300,150.65
1/21/2014,149.35,151.29,141.35,141.7,592000,140.92
1/13/2014,153.19,153.26,147.66,149.31,511200,148.49
1/6/2014,150.01,153.58,144.53,153.25,807500,152.41
12/30/2013,151.02,151.92,148.8,149.94,452100,149.12
12/23/2013,153.39,153.91,150.51,150.87,252600,150.04
12/16/2013,151.72,154.9,148.51,152.71,650100,151.22
12/9/2013,154.37,154.89,148.22,150.6,418400,149.13
12/2/2013,153.57,156.96,150.55,154.19,416400,152.68
11/25/2013,151.73,155.3,150.82,153.88,391800,152.38
11/18/2013,149.74,151.95,146.74,151.28,456400,149.8
11/11/2013,145.01,149.95,144.5,149.48,399700,148.02
11/4/2013,146,147.29,144.62,145.2,540800,143.78
10/28/2013,143.37,145.47,141.1,145.47,761300,144.05
10/21/2013,131.1,144.93,129.64,143.37,1565000,141.97
10/14/2013,129.3,132.01,128.36,131.49,533000,130.2
10/7/2013,123.77,131.35,123.74,129.58,752700,128.31
9/30/2013,124.51,125.79,122.5,125.39,502700,124.16
9/23/2013,125.94,126.87,124.36,125.25,353300,124.03
9/16/2013,124.94,129.81,124.93,126.69,648900,125.11
9/9/2013,121.39,124.15,120.07,123.78,526100,122.24
9/3/2013,118.75,122.88,116.51,121.02,515000,119.51
8/26/2013,122.68,122.95,115.54,118.03,498400,116.56
8/19/2013,121.69,123.15,117.51,122.62,626500,121.09
8/12/2013,122.49,124.76,119.55,122.03,560500,120.51
8/5/2013,125.22,125.72,121.83,122.66,497100,121.13
7/29/2013,127.3,127.56,122.08,125.32,868600,123.76
7/22/2013,128.94,129.79,121.21,127.36,1046300,125.78
7/15/2013,127.05,129.51,126.31,128.98,523400,127.38
7/8/2013,119.63,127.46,118.3,126.71,839800,125.13
7/1/2013,122.39,125.71,119.63,120.43,490100,118.93
6/24/2013,116.37,122.47,113.82,121.38,1052800,119.87
6/17/2013,124.64,125.72,117.72,119.01,827000,117.2
6/10/2013,126.6,127.57,121.21,123.74,767900,121.86
6/3/2013,133.33,133.5,120.05,126.68,1287000,124.76
5/28/2013,134.41,136.79,131.38,131.99,546700,129.99
5/20/2013,138.39,139.99,131.38,133.84,902900,131.81
5/13/2013,129.01,138.71,127.16,138.46,925300,136.36
5/6/2013,126.73,132.66,125.89,128.6,681400,126.65
4/29/2013,123.81,129.07,121.66,126.11,916500,124.2
4/22/2013,121.09,125.22,120.42,123.58,827700,121.7
4/15/2013,122.73,123.53,117.31,120.91,941600,119.08
4/8/2013,120.68,124.86,120.37,123.84,848700,121.96
4/1/2013,130.68,130.68,115.6,120.82,1511900,118.99
3/25/2013,127.41,130.81,124.89,130.47,609100,128.49
3/18/2013,126,128.8,125.21,126.44,550900,124.18
3/11/2013,126.31,128.39,125.51,127.05,604700,124.78
3/4/2013,123.56,128.78,122.98,126.09,1060000,123.84
2/25/2013,118.64,124.02,116.4,123.52,1084200,121.31
2/19/2013,118.14,119.87,116.19,118.31,505300,116.2
2/11/2013,113.12,119.48,113.08,118.87,655100,116.75
2/4/2013,114.67,115.88,112.51,113.42,840600,111.39
1/28/2013,111.84,118.07,111.13,116.08,1121300,114.01
1/22/2013,109.66,113.25,109.64,111.94,912100,109.94
1/14/2013,111.27,111.63,109.37,110.19,631100,108.22
1/7/2013,106.94,111.9,106.42,111.3,813900,109.31
12/31/2012,100.79,107.86,100.6,107.32,829400,105.4
12/24/2012,101.37,102.29,100.31,100.78,479900,98.98
12/17/2012,100.08,102.8,98.68,101.72,845600,99.56
12/10/2012,99.23,102.21,99.04,99.83,680700,97.71
12/3/2012,93.08,100.85,91.34,98.73,1745500,96.63
11/26/2012,93.24,93.78,91.55,93.34,700700,91.36
11/19/2012,90.94,93.88,90.78,93.37,635400,91.38
11/12/2012,90.23,92.99,89.3,90.11,759900,88.19
11/5/2012,94.04,94.16,89.33,89.86,448700,87.95
10/31/2012,91.6,94.83,91.56,94.15,575600,92.15
10/22/2012,88.12,94.78,86.33,92.08,1033200,90.12
10/15/2012,88.68,91.7,88.1,89,478100,87.11
10/8/2012,88.81,89.36,87.92,88.71,324900,86.82
10/1/2012,82.98,89.26,82.75,88.88,532700,86.99
9/24/2012,81.9,84.91,81.73,82.89,493200,81.13
9/17/2012,87.72,87.87,82.05,82.07,625900,79.98
9/10/2012,84.42,88.23,83.93,87.7,377500,85.47
9/4/2012,82.64,84.52,80.02,84.5,333700,82.35
8/27/2012,84.24,84.42,82.08,82.71,270500,80.61
8/20/2012,85.87,86.92,83.26,84.16,419400,82.02
8/13/2012,84.47,86.1,83.99,85.93,416700,83.74
8/6/2012,82.58,84.85,82.58,84.74,448600,82.59
7/30/2012,82.69,83.12,80.07,82.24,451300,80.15
7/23/2012,73.08,83.2,73.02,82.76,1014000,80.66
7/16/2012,74.02,75.89,73.49,74.59,588600,72.69
7/9/2012,73.68,74.5,71.22,74.28,564500,72.39
7/2/2012,73.72,75.7,73.01,73.8,506100,71.92
6/25/2012,71.41,73.56,69.67,73.26,597000,71.4
6/18/2012,71.24,74.59,71.09,72.6,633000,70.75
6/11/2012,72.24,72.45,70.53,71.85,557300,69.7
6/4/2012,70.77,73.79,68.69,71.57,893500,69.42
5/29/2012,74.16,75.39,70.65,70.76,810400,68.64
5/21/2012,72.74,75.73,70.85,74.95,1176000,72.7
5/14/2012,72.38,76.75,72.03,72.54,1924900,70.37
5/7/2012,74.69,75.73,72.22,73.2,882100,71.01
4/30/2012,77.07,79,74.65,74.92,698200,72.67
4/23/2012,75.65,78.23,74.4,78.15,635400,75.81
4/16/2012,76.11,78.22,75.39,76.95,819100,74.64
4/9/2012,74.23,76.8,72.17,75.92,946800,73.64
4/2/2012,75.7,77.73,74.45,75.46,496200,73.2
3/26/2012,78.16,79.91,74.21,75.95,562300,73.67
3/19/2012,77.81,79.57,76.46,77.34,579600,74.73
3/12/2012,75.86,78.19,75.41,77.97,631000,75.34
3/5/2012,75.03,75.93,71.67,75.89,650100,73.33
2/27/2012,74.59,76.34,74.22,75.13,495400,72.6
2/21/2012,74.18,75.72,73.74,75.27,546700,72.73
2/13/2012,75.09,75.5,72.63,74.2,773500,71.7
2/6/2012,73.32,77.55,73,74.63,1467100,72.11
1/30/2012,70.39,74.47,70.35,73.96,1060000,71.47
1/23/2012,70.91,72.62,69.14,71.4,989500,68.99
1/17/2012,68.67,73.06,68.59,70.57,893800,68.19
1/9/2012,67.31,69.3,66.23,69.18,785100,66.85
1/3/2012,68.19,69.77,66.93,67.2,989000,64.93
12/27/2011,65.24,68.12,64.2,67.67,607400,65.39
12/19/2011,62.01,65.38,61.23,65.15,527200,62.67
12/12/2011,62.73,63.9,61.46,61.85,1097900,59.49
12/5/2011,62.08,63.95,61.87,63.57,858800,61.15
11/28/2011,57.11,61.4,57.03,61.25,741600,58.92
11/21/2011,58.38,58.39,55.31,55.35,539500,53.24
11/14/2011,61.16,61.9,58.46,59.29,782600,57.03
11/7/2011,61.32,62.54,60.29,62.05,902800,59.69
10/31/2011,66.02,66.2,58.65,61.6,2258200,59.25
10/24/2011,58.59,65.01,56.8,64.57,4095200,62.11
10/17/2011,53.88,58.38,52.02,58.36,2222900,56.14
10/10/2011,51.2,54.39,51.08,53.97,1445400,51.91
10/3/2011,47.34,51.5,44.98,50.5,2443100,48.58
9/26/2011,47.33,50.3,47.33,48.09,2447500,46.26
9/19/2011,52.77,52.79,44.74,47.24,1608200,45.17
9/12/2011,51.06,54.92,50.13,54.01,889600,51.64
9/6/2011,53.97,55.3,51.42,51.69,824800,49.42
8/29/2011,56.91,59.07,55.08,55.4,694800,52.97
8/22/2011,55.7,57.27,54.2,56.3,756700,53.83
8/15/2011,60.06,60.81,54.21,54.29,781000,51.91
8/8/2011,56.86,60.24,55.68,59.63,1513900,57.01
8/1/2011,64.4,64.61,57.65,59.41,1072100,56.8
7/25/2011,61.91,64.78,61.08,63.86,849500,61.06
7/18/2011,61.77,63.1,60.61,62.25,546600,59.52
7/11/2011,61.75,62.77,60.75,61.89,596800,59.18
7/5/2011,63.18,63.66,62.29,62.49,417800,59.75
6/27/2011,58.42,63.69,58.23,63.44,507500,60.66
6/20/2011,60.28,61.75,58.13,58.33,577200,55.77
6/13/2011,60.74,62.59,59.6,60.45,630100,57.51
6/6/2011,61.5,61.91,60.21,60.74,522300,57.78
5/31/2011,63.64,63.94,60.86,61.59,541100,58.59
5/23/2011,60.99,62.9,60.51,62.57,347700,59.52
5/16/2011,61.39,62.23,60.34,61.7,488000,58.7
5/9/2011,65.07,65.44,61.25,61.66,636500,58.66
5/2/2011,66.42,66.99,64.13,65.07,498400,61.9
4/25/2011,62.82,66.48,62.76,66.24,748500,63.02
4/18/2011,62.43,64.29,61.57,62.66,632500,59.61
4/11/2011,62.99,63.44,62.14,62.95,470200,59.89
4/4/2011,64.77,65.66,62.76,63.13,399500,60.06
3/28/2011,63.32,65.11,63,64.66,456600,61.51
3/21/2011,65.29,65.81,62.47,62.96,1204200,59.9
3/14/2011,64.51,64.81,61.97,64.48,725400,61.08
3/7/2011,65.82,66.15,62.78,64.96,669400,61.53
2/28/2011,67.27,68.12,65.36,66.26,581100,62.76
2/22/2011,67.94,68.43,65.64,66.85,370200,63.32
2/14/2011,68.65,69.07,67.69,68.48,303100,64.87
2/7/2011,67.07,68.72,66.73,68.23,271900,64.63
1/31/2011,67.45,68.01,66.52,66.92,254900,63.39
1/24/2011,66.9,69.92,65.97,67.15,490600,63.61
1/18/2011,67.14,67.53,65.82,67.29,440600,63.74
1/10/2011,65.7,67.95,65.24,67.51,364500,63.95
1/3/2011,65.29,66.69,63.88,65.83,400600,62.36
12/27/2010,64.11,65.45,64.11,64.81,242000,61.39
12/20/2010,64.01,64.73,63.71,64.38,306000,60.73
12/13/2010,64.69,65.16,63.76,64.65,536700,60.98
12/6/2010,65.78,66.09,63.59,64.19,690000,60.55
11/29/2010,64.17,66.43,63.69,65.97,506000,62.23
11/22/2010,65.07,65.71,63.33,64.79,338900,61.12
11/15/2010,64.35,65.65,62.62,65.4,369800,61.69
11/8/2010,65.66,65.73,63.56,64.11,408400,60.47
11/1/2010,65.45,67.03,65.09,65.8,511100,62.07
10/25/2010,66.04,66.36,63.13,65.14,480600,61.45
10/18/2010,64.82,65.76,63.44,65.43,410700,61.72
10/11/2010,64.36,66.72,63.28,65.2,556000,61.5
10/4/2010,60.92,64.54,60.14,64.36,640700,60.71
9/27/2010,62.46,63.03,60.39,61.13,648400,57.66
9/20/2010,61.99,63,60.46,62.42,621100,58.88
9/13/2010,62.04,63.16,61.46,61.68,625700,57.94
9/7/2010,61.8,63.47,61.12,61.36,608800,57.64
8/30/2010,59.36,62.63,57.63,62.21,638700,58.44
8/23/2010,57.16,59.57,54.73,59.38,839000,55.78
8/16/2010,57.03,59.5,55.68,56.84,511400,53.39
8/9/2010,60.38,60.72,55.6,57.39,636500,53.91
8/2/2010,61,62.14,59.63,60.55,446300,56.88
7/26/2010,59.25,60.42,57.45,59.87,748900,56.24
7/19/2010,56.25,59.18,55.29,58.94,527100,55.36
7/12/2010,55.87,58.42,55.7,56.16,642800,52.75
7/6/2010,53.93,56.63,52.75,56.15,465700,52.74
6/28/2010,56.6,57.29,52.15,53.29,824800,50.06
6/21/2010,61.19,61.98,55.69,56.47,711900,53.04
6/14/2010,58.44,60.5,57.81,60.29,660400,56.38
6/7/2010,55.01,57.94,53.49,57.73,1031900,53.98
6/1/2010,54.78,58.1,54.21,54.79,816700,51.23
5/24/2010,53.2,55.74,50.22,55.03,745500,51.46
5/17/2010,57.29,58.04,49.98,53.01,975400,49.57
5/10/2010,56.82,60.78,56.39,57.35,882600,53.63
5/3/2010,59.55,60.39,51.28,53.93,849800,50.43
4/26/2010,59.14,61.38,57.18,58.86,631200,55.04
4/19/2010,57.28,60,57.28,59.52,430400,55.66
4/12/2010,57.51,59.82,56.63,57.67,354500,53.93
4/5/2010,57.62,58.34,55.43,57.51,380100,53.78
3/29/2010,54.65,57.3,54.04,57.21,331300,53.5
3/22/2010,53.78,55.04,53.2,54.23,304200,50.71
3/15/2010,55.13,55.91,54.03,54.24,294700,50.49
3/8/2010,55.41,55.6,53.85,55.13,432200,51.32
3/1/2010,48.71,55.26,48.29,55.04,705500,51.24
2/22/2010,49.99,50.39,47.19,48.18,526000,44.85
2/16/2010,49.38,49.85,48.57,49.77,666300,46.33
2/8/2010,46.94,49.09,46.13,48.84,430300,45.47
2/1/2010,47.55,49.05,46.29,46.92,660300,43.68
1/25/2010,51.3,52.43,46.77,47,706700,43.75
1/19/2010,52.4,52.4,49.68,50.67,945600,47.17
1/11/2010,55.6,55.74,52.56,52.93,466000,49.27
1/4/2010,54.76,55.49,53.52,55.4,357900,51.57
12/30/2009,54.09,54.36,53.77,54,242100,50.27
