,Weights,Position
AMP,0.002816089,29858.4
BA,0.019208659,203665.41
CAS.TO,0.01371882,145457.79
CELG.O,0.023263526,246658.32
EOG,0.014041894,148883.28
KMI,0.013913203,147518.79
SNY,0.028781962,305169.15
TD,0.024825302,263217.51
VNQ,0.102760153,1089544.5
WFC,0.055643019,589971.34
XLB,0.02599281,275596.35
XLE,0.039278832,416465.28
XLF,0.04760224,504716.64
XLI,0.05277852,559599.66
XLK,0.176318119,1869464.3
XLP,0.080561924,854181.3
XLU,0.02647703,280730.43
XLV,0.065208109,691388
XLY,0.097266511,1031296.56
