,Port. Value,Ben. Value
15-01-08,10797997.22,2062.14
15-01-07,10602791.74,2025.9
15-01-06,10486742.89,2002.61
15-01-05,10526800.66,2020.58
15-01-02,10732339.33,2058.2
14-12-31,10613152.04,2058.9
14-12-30,10714758.92,2080.35
14-12-29,10802653.71,2090.57
14-12-26,10760401.71,2088.77
14-12-24,10714565.36,2081.88
14-12-23,10708008.47,2082.17
14-12-22,10707262.85,2078.54
14-12-19,10632276.32,2070.65
14-12-18,10623996.29,2061.23
14-12-17,10422642.42,2012.89
14-12-16,10197517.85,1972.74
14-12-12,10284012.56,2002.33
14-12-11,10323478.69,2035.33
14-12-09,10448591.31,2059.82
14-12-08,10373541.14,2060.31
