,AAPL.O,AMP,ATDb.TO,BA,CELG.O,EOG,ESZ4,KMI,MGA,MHH,SNY,TD,VNQ,WFC,WFM.O,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
14-11-14,114.18,129.38,40.36,128.86,104.05,98.16,2038.50,39.37,103.92,11.7,46.68,50.59,78.45,53.35,47.11,49.29,86.21,24.06,56.31,41.61,47.76,44.94,67.25,69.28
14-11-13,112.82,130.03,39.72,128.53,107.43,95.85,2034.50,38.38,103.39,11.7,46.53,50.18,79.1,53.39,46.72,49.14,85.34,24.14,56.24,41.32,48.03,45.13,67.81,69.01
14-11-12,111.25,130.28,39.17,125.87,108.25,97.56,2036.00,38.53,104.28,11.58,46.56,50.33,78.67,53.54,47.48,49.13,86.49,24.15,56.4,41.1,47.86,45.5,67.86,68.58
14-11-11,109.7,130.36,39.14,125.36,107.85,98.75,2034.50,38.54,103.63,11.5,47.14,49.83,79.27,53.58,47.49,49.01,87.26,24.2,56.32,40.97,47.86,46.31,67.96,68.26
10-Nov-14,108.67,130.16,39.22,124.64,108.01,98.5,2038.26,38.5,104.01,11.26,46.19,49.49,79.58,53.83,48.05,48.77,87,24.28,56.39,40.95,47.95,46.48,67.71,67.97
07-Nov-14,108.55,129.05,38.53,124.45,106.45,99.55,2031.92,38.75,103.45,11.99,45.69,49.22,78.93,53.84,46.81,48.64,87.79,24.15,56.11,40.84,47.74,46.25,67.03,68.01
06-Nov-14,107.8,128.89,39.15,124.58,107.14,98.97,2031.21,38.53,104.95,11.85,45.86,48.88,79.03,54.06,44.85,48.41,86.83,24.14,56.03,40.79,47.57,45.77,67.7,68.12
05-Nov-14,108.13,128.57,38.7,124.22,105.15,96.1,2023.57,38.1,102.93,11.81,45.7,49.17,79.64,53.53,39.99,48.02,85.75,24.1,55.45,40.81,47.47,46.56,67.29,67.55
04-Nov-14,107.72,127.98,38.64,125.84,105.75,90.28,2012.1,37.46,96.97,11.82,45.49,48.7,79.81,53.27,39.8,47.56,84.27,23.94,55.11,40.7,47.14,45.53,67.36,67.28
03-Nov-14,108.01,126.44,38,126.03,107.41,93.32,2017.81,38.5,97.66,11.62,45.78,48.77,79.68,53.37,39.95,48.06,86.04,23.93,55.14,40.71,46.89,45.77,67.35,68.1
31-Oct-14,107.21,126.17,38.25,124.91,107.09,95.05,2018.05,38.7,98.71,11.82,46.24,49.26,78.99,53.09,39.33,48.4,87.42,23.84,55.21,40.54,46.71,45.47,67.27,68.1
30-Oct-14,105.9,124.11,37.71,123.82,106.94,92.22,1994.65,38.54,96.32,11.97,45.7,48.94,78.01,52.46,38.77,47.51,85.68,23.57,54.67,39.92,46.41,45.46,67,67.44
29-Oct-14,106.36,123.76,37.37,123.08,105.14,93.13,1982.3,38.33,97.8,11.85,45.22,48.57,77.52,52.17,38.6,47.15,85.99,23.44,54.45,39.79,46.12,44.48,65.79,67
28-Oct-14,105.35,120.3,37.79,123.61,105.7,91.5,1985.05,39.17,98.32,11.79,48.07,49,77.96,51.78,38.8,47.74,85.71,23.38,54.64,39.83,46.2,44.74,65.76,67.2
27-Oct-14,104.7,118.5,37.39,122.12,103.1,88.43,1961.63,38.93,96.25,11.39,52.82,48.25,77.62,51.31,38.45,47.27,83.8,23.13,53.69,39.29,46.02,44.43,65.28,66.48
24-Oct-14,104.53,117.65,37.71,122.24,103.24,92.1,1964.58,39.03,96.54,11.2,54.02,48.36,77.05,51.2,37.71,48.28,85.6,23.1,53.71,39.25,45.91,44.53,65.21,66.35
23-Oct-14,103.63,116.51,36.7,122.03,100.4,93.4,1950.82,38.68,94.58,11,53.53,48.32,77.11,50.6,38.03,47.92,85.9,22.88,53.24,38.91,45.53,44.1,64.31,66.41
22-Oct-14,102.6,114.75,35.84,121.45,94.76,92.07,1927.11,37.92,93.18,9.8,52.63,47.82,76.52,50.17,37.66,47.96,84.33,22.66,52.09,38.48,45.56,44.02,63.23,65.52
21-Oct-14,101.27,116.57,36.75,127.12,94.97,96.03,1941.28,38.31,94.08,8.55,52.15,48.31,76.5,50.45,37.95,48.35,85.96,22.87,52.78,38.66,45.46,43.75,63.55,66.09
20-Oct-14,98.22,113.47,35.79,124.31,92,92.76,1904.01,37.57,89.63,8.91,51.78,47.59,75.81,49.18,37.2,47.33,83.42,22.45,51.63,37.92,45.27,43.6,61.91,64.83
17-Oct-14,96.81,112.3,35.58,123.24,88.12,91.22,1886.76,36.81,90.18,8.79,51.8,47.43,74.67,48.69,36.94,46.62,82.7,22.32,51.48,37.65,44.63,43,61.17,63.94
16-Oct-14,95.41,109.87,35.25,120.29,86.38,91.27,1862.76,36.82,87.69,8.65,50.64,46.27,74.58,48.13,36.87,46.01,82,22.04,50.48,37.21,44.09,42.75,60.21,63.24
15-Oct-14,95.18,109.35,34.27,120.19,86.55,88.17,1862.49,35.29,85,8.6,51.5,45.54,74.46,47.85,36.92,45.56,80.56,22.04,50.11,37.43,44.42,42.71,60.52,63.17
14-Oct-14,98.57,111.8,34.79,122.29,86.48,83.84,1877.7,34.5,84.6,8.5,52.25,46.53,74.75,48.83,37.07,45.25,79.95,22.47,50.23,37.69,44.96,43.28,61.02,63.7
13-Oct-14,99.81,111.78,35.49,120.45,87.48,83.76,1874.74,35.5,85.62,8.5,52.3,47.15,73.56,50.2,36.72,45.11,80.97,22.38,49.54,37.63,44.98,42.89,61.48,63.24
10-Oct-14,100.3,114.55,35.49,121.5,90.93,89.83,1906.13,36.47,88.44,8.49,52.43,47.47,73.49,50.64,36.7,46.3,83.55,22.58,50.32,38.05,45.61,42.93,62.97,64.55
09-Oct-14,100.61,117.05,35.75,122.76,92.38,91.96,1928.21,36.7,91.89,8.39,53.08,48.45,73.42,51.12,37.23,47.02,84.74,22.76,51.07,39.05,45.39,42.73,63.36,65.12
08-Oct-14,98.31,120.62,36.03,124.98,94.89,94.56,1968.89,38.26,94.32,8.95,54.48,48.74,73.42,52.15,37.8,48.2,87.97,23.25,52.28,39.71,45.85,43.44,64.7,66.63
07-Oct-14,98.73,119.07,35.42,123.32,92.45,93.61,1935.1,38.25,93.83,8.97,53.75,48.01,71.86,51.08,37.43,47.58,87.12,22.82,51.36,38.97,45.19,42.48,63.09,65.6
06-Oct-14,99.42,121.89,35.1,126.26,94.5,95.09,1964.82,38.72,95.77,9.52,54.85,48.55,72.43,52.03,38.49,48.43,88.27,23.21,52.64,39.59,45.46,42.54,64.11,66.59
03-Oct-14,99.04,121.84,35.99,126.36,95.21,96.57,1967.9,38.86,96.11,9.95,54.75,48.09,72.24,52.1,38.21,48.44,88.17,23.28,52.8,39.58,45.44,42.54,64.41,66.95
02-Oct-14,98.04,119.92,35.47,124.17,92.81,97.06,1946.17,39.39,95.83,10.41,55,48.32,71.79,51.4,37.53,48.3,88.31,22.95,52.09,39.26,44.91,42.27,63.11,66.1
01-Oct-14,98.7,119.65,35.4,124.67,93.43,96.85,1946.16,38.2,95.53,9.96,55.88,48.68,71.91,51.26,37.85,48.42,88.77,22.89,52.15,39.28,44.82,42.33,63.24,65.8
30-Sep-14,100.53,123.38,35.81,127.38,94.78,99.02,1972.29,38.34,94.91,10.24,56.43,49.39,71.85,51.87,38.11,49.59,90.62,23.17,53.15,39.9,45.11,42.09,63.91,66.69
29-Sep-14,98.63,123.58,35.36,128.77,95.64,101.87,1977.8,38.53,98.86,10.35,55.71,49.31,72.21,51.69,37.56,50.19,91.77,23.21,53.23,39.78,45.09,42.03,64.26,67.06
26-Sep-14,98.4,124.14,34.9,128.69,94.46,101.88,1982.85,38.39,101.09,10.72,56.09,49.6,72.31,51.87,37.67,50.4,91.98,23.29,53.31,39.79,45.1,41.76,64.4,67.41
25-Sep-14,97.72,122.94,35.03,127.14,93.16,100.36,1965.99,37.72,101.22,10.49,55.85,49.35,71.35,51.41,37.58,49.91,90.81,23.07,52.82,39.36,44.93,41.7,64.2,66.72
24-Sep-14,101.2,125.22,35.28,128.58,96.21,102.14,1998.3,38.48,104.16,10.55,56.93,50.96,71.67,52.13,38.34,50.68,92.22,23.46,53.66,40.24,45.53,41.95,65.27,67.71
23-Sep-14,100.54,123.87,35.66,127.38,93.12,100.84,1982.77,38.21,104.22,10.6,55.76,51.37,72.53,52.1,38.14,50.16,92.14,23.33,53.38,39.98,44.95,42.1,64.15,66.95
22-Sep-14,100.58,124.76,34.53,128.61,92.19,101.74,1994.29,37.5,102.9,11.01,57.29,51.48,73.06,52.9,38.8,50.42,92.41,23.49,53.82,40.07,45.35,42.22,64.53,67.53
19-Sep-14,100.5,126.65,33.53,129.35,93.85,104.37,2010.4,37.97,103.69,11.25,56.69,51.76,73.64,53.36,39.17,50.44,93.79,23.65,54.43,40.34,45.43,42.54,64.88,68.49
18-Sep-14,101.56,127.57,34.71,128.58,93.27,104.98,2011.36,38,108.73,11.7,56.98,52.58,73.55,53.24,39.79,50.69,94.35,23.81,54.74,40.6,45.6,42.54,65.04,68.69
17-Sep-14,100.59,126.55,35.09,127.76,92.26,105.19,2001.57,38.13,108.01,11.55,56.52,52.14,74.2,52.51,39.38,50.35,94.84,23.58,54.48,40.36,45.51,42.85,64.56,68.39
