,Port. Value,Ben. Value
15-01-08,10797997.22,2062.14
15-01-07,10602791.74,2025.9
15-01-06,10486742.89,2002.61
15-01-05,10526800.66,2020.58
15-01-02,10732339.33,2058.2
14-12-31,10613152.04,2058.9
14-12-30,10714758.92,2080.35
14-12-29,10802653.71,2090.57
14-12-26,10760401.71,2088.77
14-12-24,10714565.36,2081.88
14-12-23,10708008.47,2082.17
14-12-22,10707262.85,2078.54
14-12-19,10632276.32,2070.65
14-12-18,10623996.29,2061.23
14-12-17,10422642.42,2012.89
14-12-16,10197517.85,1972.74
14-12-12,10284012.56,2002.33
14-12-11,10323478.69,2035.33
14-12-09,10448591.31,2059.82
14-12-08,10373541.14,2060.31
14-12-05,10372028.39,2043.801526
14-12-04,10352823.81,2043.183053
14-12-03,10333619.22,2042.564579
14-12-02,10314414.63,2041.946105
14-12-01,10295210.04,2041.327632
14-11-27,10276005.45,2040.709158
14-11-26,10256800.86,2040.090684
14-11-25,10237596.27,2039.472211
14-11-24,10218391.69,2038.853737
14-11-21,10199187.1,2038.235263
14-11-20,10179982.51,2037.616789
14-11-19,10160777.92,2036.998316
14-11-18,10141573.33,2036.379842
14-11-17,10122368.74,2035.761368
14-11-13,10103164.15,2035.142895
14-11-12,10083959.57,2034.524421
14-11-11,10064754.98,2033.905947
14-11-07,10045550.39,2033.287474
14-11-06,10026345.8,2032.669
14-11-05,10007141.21,2032.050526
14-11-04,9987936.622,2031.432053
14-11-02,9968732.034,2030.813579
